trade_id,security_isin,security_type,trade_amount,currency,counterparty,counterparty_risk_score,historical_fail_rate,market_volatility_index,settlement_delay_days,settlement_failed
2132,US969580435,Equity,1130597.41,GBP,Goldman Sachs,0.721,0.181,16.14,3,1
2133,US512388000,Derivative,2691016.45,USD,Barclays,0.422,0.128,28.34,2,0
2134,US356189129,Equity,4721901.67,USD,JPMorgan,0.742,0.184,34.93,4,0
2135,US210830503,Derivative,2055455.83,USD,Goldman Sachs,0.409,0.182,24.02,1,1
2136,US141965471,Bond,3401408.37,USD,JPMorgan,0.109,0.013,14.4,4,1
2137,US921358833,Bond,4890390.6,USD,Goldman Sachs,0.173,0.191,19.18,3,0
2138,US428398843,Derivative,4151312.34,GBP,JPMorgan,0.812,0.01,39.44,0,1
2139,US411025504,Bond,3298580.32,USD,HSBC,0.259,0.185,13.33,3,0
2140,US176070913,Bond,3682622.48,GBP,JPMorgan,0.264,0.109,14.82,2,0
2141,US247069152,Equity,4683051.41,GBP,Citi,0.929,0.107,39.71,4,0
2142,US477383712,Equity,4799163,GBP,Morgan Stanley,0.658,0.143,36.46,1,1
2143,US669226984,Equity,4845150.97,USD,Goldman Sachs,0.114,0.176,31.21,1,0
2144,US532189388,Derivative,3131951.72,GBP,BNP Paribas,0.144,0.123,14.53,3,0
2145,US454371485,Derivative,1929711.13,USD,Barclays,0.272,0.085,17.22,0,0
2146,US242606240,Bond,674434.11,GBP,Morgan Stanley,0.594,0.022,15.41,2,0
2147,US420035404,Equity,1933884.53,USD,Citi,0.753,0.158,28.93,0,0
2148,US437492083,Derivative,4715347.72,EUR,Citi,0.274,0.026,21.97,4,0
2149,US563003289,Derivative,4450087.43,EUR,Citi,0.871,0.145,11.43,3,0
2150,US731030677,Equity,2623061.71,GBP,Barclays,0.109,0.106,18.74,3,0
2151,US409644390,Derivative,2689666.36,JPY,Goldman Sachs,0.208,0.077,35.82,1,0
2152,US670009793,Equity,1551512.54,JPY,Goldman Sachs,0.97,0.123,33.88,4,1
2153,US390085734,Bond,2277994.37,EUR,HSBC,0.135,0.154,29.29,1,0
2154,US962683225,Bond,3575097.98,GBP,HSBC,0.888,0.188,12.57,0,1
2155,US913745837,Bond,2018129.32,GBP,JPMorgan,0.704,0.053,36.48,3,1
2156,US929761657,Equity,948039.52,GBP,JPMorgan,0.073,0.189,26.04,3,0
2157,US317268209,Derivative,2708889.3,JPY,BNP Paribas,0.484,0.192,24.84,2,1
2158,US406835598,Bond,1134431.19,EUR,JPMorgan,0.519,0.163,38.02,0,0
2159,US959638753,Bond,4871694.9,GBP,Barclays,0.932,0.176,10.27,4,0
2160,US276881769,Bond,1957796.17,EUR,Morgan Stanley,0.421,0.138,26.68,2,1
2161,US819332214,Derivative,4549228.21,EUR,HSBC,0.447,0.008,33.74,3,1
2162,US831799979,Derivative,1135514.44,USD,Goldman Sachs,0.112,0.115,11.91,4,0
2163,US549115440,Equity,954152.94,JPY,JPMorgan,0.639,0.149,20.72,1,0
2164,US965650535,Bond,3088336.63,EUR,HSBC,0.211,0.188,39.32,0,0
2165,US685963466,Derivative,3899101.6,USD,Barclays,0.078,0.114,16.35,1,0
2166,US633520700,Equity,2838155.17,JPY,Barclays,0.997,0.159,25.94,3,0
2167,US986806466,Bond,1156680.46,GBP,BNP Paribas,0.27,0.141,32.38,2,1
2168,US728015738,Derivative,199092.87,GBP,JPMorgan,0.141,0.056,21.71,1,0
2169,US235661445,Derivative,3095261.22,USD,HSBC,0.699,0.031,22.24,3,0
2170,US507062536,Equity,663875.75,GBP,HSBC,0.822,0.15,11.9,1,0
2171,US899775493,Bond,1722450.17,USD,BNP Paribas,0.064,0.047,15.7,0,0
2172,US600812872,Bond,3382165.92,USD,HSBC,0.105,0.049,36.42,1,0
2173,US323214950,Derivative,499136.97,GBP,Citi,0.09,0.129,34.55,0,0
2174,US585091550,Bond,644984.88,JPY,Citi,0.047,0.158,19.14,0,0
2175,US277366431,Equity,317714.37,USD,Citi,0.659,0.116,21.45,4,0
2176,US309748520,Derivative,4980434.85,JPY,JPMorgan,0.588,0.177,23.21,2,1
2177,US997908081,Derivative,1941513.08,JPY,Barclays,0.663,0.042,20.38,1,0
2178,US895435723,Equity,4529917.89,USD,Barclays,0.506,0.05,29.62,3,0
2179,US619558407,Derivative,1474992.34,JPY,Goldman Sachs,0.818,0.127,10.38,4,1
2180,US947613767,Bond,3768480.8,USD,HSBC,0.547,0.166,36.41,2,1
2181,US638179419,Bond,1103142.42,GBP,Citi,0.919,0.108,19.02,4,1
2182,US322170429,Derivative,2496640.3,GBP,JPMorgan,0.486,0.002,36.17,1,1
2183,US243549523,Equity,4124832.54,GBP,Goldman Sachs,0.791,0.135,23.63,1,1
2184,US484185661,Equity,4083508.65,GBP,Barclays,0.407,0.163,33.29,1,1
2185,US582144366,Bond,3973460.78,GBP,HSBC,0.435,0.055,34.77,2,0
2186,US378421754,Equity,4120434.72,JPY,HSBC,0.849,0.011,19.04,4,0
2187,US444090630,Derivative,1065246.68,JPY,Goldman Sachs,0.108,0.104,29.21,3,0
2188,US790717130,Derivative,2416259.2,JPY,Citi,0.565,0.008,28.22,4,0
2189,US721982803,Bond,2429508.66,EUR,HSBC,0.726,0.083,24.28,2,0
2190,US327639503,Bond,4453607.41,EUR,HSBC,0.75,0.004,24.09,0,0
2191,US304407683,Bond,1491490.23,USD,HSBC,0.591,0.045,19.16,0,1
2192,US518655621,Equity,4658164.51,EUR,Morgan Stanley,0.448,0.078,19.31,0,0
2193,US389041721,Derivative,2259470.72,GBP,Citi,0.261,0.022,26.44,3,1
2194,US245309717,Derivative,3352237.15,GBP,Citi,0.909,0.023,10.97,2,0
2195,US968950425,Derivative,1351726.73,GBP,JPMorgan,0.37,0.165,38.01,2,1
2196,US716661506,Bond,2057387.55,USD,Morgan Stanley,0.799,0.008,29.5,0,1
2197,US275037566,Derivative,3551906.65,USD,HSBC,0.032,0.138,23.3,2,0
2198,US213398568,Equity,2568608.24,USD,BNP Paribas,0.232,0.163,11.85,2,0
2199,US804372411,Equity,4654232.98,USD,Morgan Stanley,0.346,0.026,28.9,1,0
2200,US910061837,Derivative,3688253.58,JPY,Morgan Stanley,0.672,0.039,10.53,3,0
2201,US450598090,Bond,2826370.6,USD,Barclays,0.319,0.128,30.4,2,1
2202,US359210229,Derivative,4434482.09,USD,Goldman Sachs,0.041,0.063,12.18,0,1
2203,US500628747,Equity,3331126.38,EUR,Barclays,0.174,0.095,29.68,4,1
2204,US745508619,Equity,3240129.16,JPY,BNP Paribas,0.259,0.167,22.18,4,0
2205,US785239180,Equity,1239392.95,GBP,Morgan Stanley,0.176,0.028,29.88,3,1
2206,US623056428,Derivative,1980336.26,EUR,JPMorgan,0.204,0.124,14.15,2,0
2207,US597108210,Equity,3419685.23,USD,BNP Paribas,0.769,0.188,13.52,1,0
2208,US439377298,Bond,4460040.64,GBP,HSBC,0.412,0.011,17.42,2,1
2209,US473214563,Derivative,1584581.89,GBP,Citi,0.405,0.012,22.35,0,1
2210,US882190471,Derivative,1085273.25,GBP,HSBC,0.967,0.111,17.59,2,0
2211,US623267804,Equity,2972542.93,EUR,Citi,0.447,0.192,12.46,4,0
2212,US270503798,Equity,345313.52,JPY,Barclays,0.928,0.044,19.75,4,1
2213,US888793652,Bond,3575563.09,JPY,HSBC,0.299,0.066,31.17,3,1
2214,US781644726,Derivative,3518661.33,GBP,BNP Paribas,0.401,0.02,27.49,0,0
2215,US287525407,Equity,1781280.49,USD,Barclays,0.396,0.072,38.9,3,0
2216,US794378283,Bond,4464461.49,JPY,JPMorgan,0.546,0.009,23.08,2,1
2217,US337784657,Equity,2515883.9,JPY,Citi,0.584,0.078,19.98,1,0
2218,US189597893,Derivative,3232367.1,USD,HSBC,0.248,0.111,30.81,3,1
2219,US758259666,Equity,1055796.62,EUR,Barclays,0.794,0.195,22.36,4,0
2220,US453538596,Derivative,2092528.27,EUR,HSBC,0.497,0.164,28.55,0,0
2221,US282444343,Equity,4313463.53,USD,Goldman Sachs,0.007,0.164,38.39,2,0
2222,US745643906,Derivative,1072568.34,EUR,Barclays,0.591,0.046,24.98,0,0
2223,US450153627,Bond,1958966.14,GBP,Barclays,0.798,0.017,24.95,0,0
2224,US957028297,Derivative,1597201.96,JPY,Morgan Stanley,0.25,0.121,33.25,0,0
2225,US758252530,Bond,764039.82,EUR,Goldman Sachs,0.038,0.104,32.68,4,0
2226,US874074402,Derivative,1455692.41,GBP,Goldman Sachs,0.807,0.103,25.49,1,0
2227,US410089820,Bond,1171533.7,GBP,HSBC,0.976,0.022,11.94,3,0
2228,US823271605,Equity,4618732.22,GBP,JPMorgan,0.077,0.099,39.42,4,1
2229,US231651518,Derivative,3707983.23,GBP,HSBC,0.938,0.03,21.32,1,1
2230,US974362062,Equity,1587346.89,GBP,Morgan Stanley,0.359,0.084,19.5,2,1
2231,US132997728,Bond,3819061.88,USD,Goldman Sachs,0.941,0.012,39.45,3,1
2232,US488490118,Derivative,120478.37,JPY,Morgan Stanley,0.649,0.171,36.16,1,0
2233,US848154672,Derivative,2637358.31,JPY,Morgan Stanley,0.89,0.003,19.91,2,1
2234,US607976541,Equity,1259169.47,USD,Citi,0.786,0.188,19.25,3,1
2235,US812566713,Derivative,580467.14,USD,HSBC,0.028,0.173,31.63,2,1
2236,US513370391,Derivative,4419955.06,GBP,Goldman Sachs,0.065,0.151,20.03,4,0
2237,US853738131,Equity,1004709.27,EUR,Citi,0.526,0.197,17.54,2,0
2238,US653040676,Derivative,4113731.55,JPY,HSBC,0.13,0.011,39.39,0,0
2239,US512037635,Equity,2071981.16,EUR,Barclays,0.461,0.128,26.97,4,0
2240,US619857515,Equity,81310.94,JPY,HSBC,0.955,0.17,32.87,2,1
2241,US176123517,Equity,3665338.82,GBP,Barclays,0.295,0.025,31.39,4,0
2242,US120808635,Equity,2985835.19,EUR,Citi,0.489,0.117,32.67,3,1
2243,US272267671,Equity,1727417.7,JPY,Barclays,0.384,0.079,37.1,0,0
2244,US285974321,Bond,1414914.21,JPY,Citi,0.63,0.087,25.02,0,0
2245,US602646448,Bond,377719.35,GBP,HSBC,0.194,0.183,32.6,2,1
2246,US160111794,Equity,4707713.72,EUR,JPMorgan,0.26,0.108,33.9,3,0
2247,US437908319,Bond,2474984.57,GBP,Morgan Stanley,0.859,0.019,38.39,4,1
2248,US478207848,Bond,436767.34,EUR,JPMorgan,0.811,0.187,31.39,2,1
2249,US910097059,Derivative,4344711.79,EUR,Goldman Sachs,0.789,0.037,36.78,1,1
2250,US226248185,Equity,1401377.53,JPY,JPMorgan,0.771,0.179,12.85,2,0
2251,US724982881,Bond,1025977.55,USD,JPMorgan,0.459,0.194,13.78,1,1
2252,US556077027,Derivative,1411877.82,EUR,Barclays,0.729,0.176,14.75,0,0
2253,US630098753,Derivative,2827211.58,EUR,BNP Paribas,0.387,0.135,14.34,2,0
2254,US519719502,Equity,379541.86,GBP,HSBC,0.101,0.149,12.63,2,0
2255,US747259553,Equity,2413966.98,EUR,BNP Paribas,0.393,0.14,13.68,0,0
2256,US284495011,Derivative,4479759.79,EUR,Citi,0.159,0.092,39.88,4,1
2257,US837535749,Equity,948976.26,EUR,Goldman Sachs,0.391,0.055,18.17,2,0
2258,US765760038,Equity,1662631.97,EUR,BNP Paribas,0.297,0.057,24.34,3,1
2259,US215224489,Derivative,1986648.61,EUR,Barclays,0.599,0.146,34.65,0,0
2260,US496641650,Derivative,2935241.35,USD,Goldman Sachs,0.362,0.125,13.55,4,0
2261,US245404089,Equity,4597078.69,JPY,Morgan Stanley,0.706,0.117,19.52,0,1
2262,US797345269,Bond,1978750.65,EUR,Citi,0.512,0.131,14.78,0,1
2263,US568800124,Equity,355072.67,GBP,Barclays,0.919,0.155,11.88,4,1
2264,US674869122,Bond,1746274.8,GBP,JPMorgan,0.091,0.15,38.82,4,0
2265,US628137452,Derivative,958526.21,EUR,HSBC,0.688,0.021,35.75,4,0
2266,US665046823,Bond,3262354.65,EUR,Morgan Stanley,0.672,0.073,36.38,3,1
2267,US469358868,Derivative,156017.92,EUR,JPMorgan,0.951,0.053,36.06,1,0
2268,US665078882,Equity,1466730.56,USD,BNP Paribas,0.372,0.108,14.64,0,0
2269,US211670041,Equity,2730415.8,JPY,HSBC,0.305,0.012,33.55,2,1
2270,US767052131,Derivative,1393897.69,GBP,Goldman Sachs,0.172,0.152,31.84,1,1
2271,US783039471,Derivative,2759466.46,USD,Morgan Stanley,0.265,0.021,37.76,2,1
2272,US537465565,Derivative,582414.49,USD,HSBC,0.502,0.054,16.58,2,0
2273,US871733078,Equity,4714599.39,EUR,HSBC,0.838,0.157,22.42,2,0
2274,US669257257,Equity,1461624.97,JPY,Barclays,0.284,0.01,18.85,3,0
2275,US627630861,Bond,4615774.19,EUR,JPMorgan,0.158,0.132,17.74,3,0
2276,US154181889,Derivative,1635918.84,GBP,BNP Paribas,0.272,0.185,29.57,1,0
2277,US877290102,Bond,3911382.55,JPY,JPMorgan,0.101,0.124,14.92,4,0
2278,US800213540,Equity,1238474.91,EUR,Goldman Sachs,0.927,0.143,23.94,3,0
2279,US548330564,Bond,3352146.82,GBP,Goldman Sachs,0.873,0.158,29.4,0,1
2280,US396923045,Bond,1625343.91,USD,BNP Paribas,0.308,0.044,13.91,1,1
2281,US903869224,Equity,2550704.05,GBP,Citi,0.247,0.116,17.71,0,0
2282,US518301429,Equity,3372332.59,GBP,BNP Paribas,0.905,0.062,39.02,2,0
2283,US618616891,Derivative,2948523.7,GBP,Citi,0.002,0.05,33.86,0,0
2284,US765809276,Bond,2885640.16,JPY,BNP Paribas,0.601,0.038,30.31,3,1
2285,US938829678,Equity,337747.37,USD,BNP Paribas,0.916,0.117,35.68,0,0
2286,US499081485,Equity,1252893.39,JPY,Goldman Sachs,0.509,0.159,10.42,2,0
2287,US163640055,Bond,2863478.06,USD,Citi,0.003,0.175,10.18,2,0
2288,US441084390,Equity,101402.86,EUR,BNP Paribas,0.219,0.086,14.62,3,0
2289,US569153752,Derivative,1260714.83,EUR,HSBC,0.922,0.075,24.86,1,0
2290,US798453075,Derivative,1153634.34,GBP,JPMorgan,0.017,0.137,27.1,4,1
2291,US499220865,Bond,1256781.99,GBP,Goldman Sachs,0.395,0.156,13.41,1,1
2292,US509145062,Derivative,2682691.4,JPY,HSBC,0.79,0.051,12.17,4,0
2293,US802329669,Equity,2913982.17,USD,HSBC,0.838,0.059,34.85,3,1
2294,US753364368,Equity,4545899.99,USD,Morgan Stanley,0.478,0.107,23.93,3,0
2295,US705940602,Equity,1936294.93,USD,Goldman Sachs,0.232,0.089,39.77,3,1
2296,US366923864,Equity,4633628.8,GBP,BNP Paribas,0.6,0.141,16.88,2,0
2297,US740147483,Bond,3263252.18,GBP,Barclays,0.264,0.101,29.42,1,0
2298,US134932801,Derivative,4564175.38,USD,Barclays,0.255,0.022,34.13,4,0
2299,US563797410,Derivative,4169025.79,GBP,HSBC,0.808,0.033,36.18,1,0
2300,US773178852,Equity,3441036.39,USD,HSBC,0.154,0.18,19.19,4,1
2301,US138785284,Bond,1786968.44,JPY,Goldman Sachs,0.006,0.045,15.8,0,0
2302,US422938878,Equity,1213141.13,EUR,Morgan Stanley,0.337,0.01,16.78,1,0
2303,US479729344,Equity,1119733.26,USD,Goldman Sachs,0.491,0.146,30,0,0
2304,US200816295,Bond,4761347.45,GBP,Morgan Stanley,0.705,0.137,25.67,3,1
2305,US523973323,Bond,4793283.48,JPY,BNP Paribas,0.781,0.12,27.97,2,0
2306,US662098103,Equity,3626908.55,GBP,JPMorgan,0.664,0.1,10.62,2,0
2307,US729898915,Derivative,4420141.96,GBP,JPMorgan,0.627,0.194,21.73,1,0
2308,US975269422,Equity,4595790.85,GBP,Morgan Stanley,0.666,0.024,19.3,0,1
2309,US674278665,Derivative,2562665.42,USD,HSBC,0.272,0.102,35.91,0,0
2310,US415666114,Derivative,3149007.86,JPY,Citi,0.382,0.113,33.29,4,1
2311,US924738421,Bond,2099584.94,USD,JPMorgan,0.616,0.004,22.89,1,0
2312,US829104653,Bond,2098268.91,EUR,Barclays,0.066,0.082,28.92,1,0
2313,US447417167,Equity,201760.3,USD,Goldman Sachs,0.295,0.157,11.43,0,0
2314,US184928457,Derivative,2174769.09,EUR,BNP Paribas,0.406,0.094,29.12,0,1
2315,US953743196,Derivative,3370714.16,JPY,Citi,0.533,0.175,12.92,2,1
2316,US473675785,Equity,2115691.01,JPY,HSBC,0.486,0.129,31.42,1,1
2317,US827526219,Equity,4363324.29,USD,Barclays,0.718,0.153,27.22,2,0
2318,US438801501,Equity,1669489.13,USD,Goldman Sachs,0.473,0.161,19.01,3,0
2319,US726019688,Bond,672083.41,GBP,Barclays,0.904,0.138,21.13,3,0
2320,US876905984,Equity,4059677.87,EUR,Citi,0.38,0.15,12.7,0,1
2321,US956561796,Equity,3373000.11,GBP,Morgan Stanley,0.525,0.139,19.68,4,0
2322,US477460487,Derivative,1216679.22,GBP,Goldman Sachs,0.003,0.11,39.01,0,1
2323,US603133866,Equity,2686891.77,JPY,Barclays,0.31,0.113,24.59,1,0
2324,US952909003,Derivative,2015243.17,USD,BNP Paribas,0.867,0.038,24.23,0,0
2325,US988101376,Derivative,4694910.28,JPY,HSBC,0.334,0.165,28.88,2,1
2326,US110856760,Bond,3040587.13,USD,BNP Paribas,0.253,0.062,24.53,0,0
2327,US817439551,Equity,800362.41,JPY,Barclays,0.544,0.107,20.67,2,1
2328,US569228405,Equity,2515720.78,JPY,HSBC,0.079,0.05,14.19,3,0
2329,US819919059,Derivative,4314158.59,JPY,Citi,0.532,0.139,28.91,2,1
2330,US655590939,Bond,3360768.38,EUR,Citi,0.304,0.195,32.47,1,0
2331,US257502584,Bond,4213835.86,JPY,HSBC,0.383,0.16,37.69,0,0
2332,US553282922,Equity,1259492.58,EUR,BNP Paribas,0.791,0.124,10.09,1,1
2333,US558410670,Derivative,4442873.37,JPY,BNP Paribas,0.662,0.114,12,2,0
2334,US803535076,Equity,3780500.55,USD,HSBC,0.446,0.098,36.98,2,0
2335,US243932619,Equity,3647279.64,EUR,Citi,0.578,0.041,28.93,2,0
2336,US236538416,Equity,1739239.94,USD,Morgan Stanley,0.767,0.07,38.74,2,0
2337,US504458992,Equity,4439413.74,USD,JPMorgan,0.746,0.081,22.93,2,0
2338,US982124407,Derivative,3193517.09,USD,Barclays,0.185,0.189,22.5,0,0
2339,US339101483,Bond,4260678.99,EUR,Morgan Stanley,0.301,0.085,20.33,4,1
2340,US943396919,Equity,1811247.57,GBP,Barclays,0.348,0.117,14.28,1,1
2341,US466594203,Equity,736803.93,EUR,BNP Paribas,0.188,0.184,21.36,3,0
2342,US590554734,Equity,1668362.53,GBP,Morgan Stanley,0.012,0.104,10.44,3,0
2343,US607971278,Equity,2281769.09,EUR,BNP Paribas,0.174,0.05,25.28,1,0
2344,US349710469,Bond,2671702.8,JPY,HSBC,0.808,0.076,35.42,0,0
2345,US984081259,Bond,2558937.99,GBP,HSBC,0.546,0.075,19.64,1,0
2346,US271394298,Bond,2734812.42,JPY,BNP Paribas,0.342,0.143,12.84,2,1
2347,US580691132,Bond,4210111.77,GBP,BNP Paribas,0.608,0.059,39.21,4,0
2348,US246835347,Equity,858805.22,EUR,Goldman Sachs,0.74,0.146,13.87,1,0
2349,US184823921,Derivative,1587095.96,EUR,JPMorgan,0.354,0.178,25.86,0,1
2350,US345186177,Bond,4444156.37,GBP,BNP Paribas,0.466,0.067,34.28,2,0
2351,US628155592,Bond,2806686.44,JPY,Barclays,0.064,0.027,17.57,1,1
2352,US233872126,Equity,2921115.45,USD,Citi,0.597,0.128,35.24,1,0
2353,US901465363,Equity,2395532.1,GBP,JPMorgan,0.356,0.072,26.71,2,0
2354,US322036249,Equity,2749383.43,GBP,Barclays,0.434,0.107,19.96,0,0
2355,US268979228,Equity,998417.86,JPY,Goldman Sachs,0.423,0.127,35.97,4,1
2356,US701308160,Derivative,2738865.83,USD,BNP Paribas,0.632,0.082,28.66,4,1
2357,US624458102,Derivative,4985893.91,GBP,Barclays,0.572,0.185,28.46,2,1
2358,US968438213,Bond,2834577.39,USD,Barclays,0.422,0.08,25.12,3,1
2359,US873138916,Derivative,231568.3,USD,Barclays,0.017,0.061,18.24,0,0
2360,US889737204,Bond,3984213.87,EUR,JPMorgan,0.621,0.177,19.15,3,0
2361,US480343354,Bond,1988412.39,JPY,BNP Paribas,0.88,0.027,12.64,3,0
2362,US384138308,Derivative,776843.98,GBP,Barclays,0.77,0.025,17.31,3,1
2363,US543708576,Bond,4313973.83,GBP,Citi,0.982,0.187,18.33,0,0
2364,US131073264,Equity,997886.55,USD,BNP Paribas,0.139,0.042,11.76,3,0
2365,US463657906,Bond,4604629.28,GBP,Morgan Stanley,0.223,0.03,13.31,2,1
2366,US278554061,Equity,2214564.49,USD,Citi,0.539,0.107,18.11,1,0
2367,US908346635,Derivative,3716526.27,GBP,Goldman Sachs,0.236,0.009,30.32,2,0
2368,US737129193,Derivative,2739509.29,JPY,HSBC,0.035,0.124,15.53,1,0
2369,US732987923,Bond,1290567.75,GBP,JPMorgan,0.402,0.091,25.66,4,0
2370,US898725370,Equity,3358739.97,USD,Morgan Stanley,0.288,0.128,25.24,3,1
2371,US121217066,Bond,4789983.63,USD,JPMorgan,0.264,0.057,35.02,4,0
2372,US174645629,Derivative,3850488.46,GBP,JPMorgan,0.953,0.181,28.27,4,1
2373,US966775009,Bond,3024049.8,GBP,Barclays,0.238,0.054,37.51,0,0
2374,US414093784,Bond,4953234.26,USD,Citi,0.129,0.128,28.84,3,0
2375,US697515569,Equity,1333980.07,EUR,Morgan Stanley,0.125,0.189,10.77,4,0
2376,US606455224,Derivative,321084.02,EUR,Barclays,0.806,0.08,21.44,1,0
2377,US444079398,Bond,170333.02,GBP,Morgan Stanley,0.715,0.032,30.97,1,0
2378,US979351006,Equity,3556332.52,JPY,BNP Paribas,0.129,0.014,24.25,0,0
2379,US118144439,Bond,4152859.5,GBP,BNP Paribas,0.22,0.193,22.58,4,0
2380,US166984430,Equity,3179151.68,JPY,Citi,0.747,0.153,30.15,4,1
2381,US193329834,Equity,4526082.72,GBP,Barclays,0.275,0.184,18.57,4,0
2382,US497943702,Bond,3492900.48,USD,Morgan Stanley,0.982,0.14,37.27,0,1
2383,US816676523,Derivative,1861063.69,GBP,HSBC,0.541,0.068,22.39,3,0
2384,US238491173,Derivative,914478.88,JPY,BNP Paribas,0.192,0.025,28.94,4,1
2385,US699797587,Equity,4623990.92,JPY,Barclays,0.859,0.186,39.47,4,0
2386,US640055702,Derivative,526949.78,GBP,JPMorgan,0.319,0.098,33.56,2,1
2387,US228735615,Equity,2719512.13,GBP,BNP Paribas,0.289,0.079,25.95,1,1
2388,US670005117,Derivative,1576899.55,EUR,Goldman Sachs,0.327,0.116,35.78,3,1
2389,US348807212,Bond,1364360.89,GBP,Morgan Stanley,0.768,0.021,26.81,3,1
2390,US716509747,Derivative,3232715.91,GBP,HSBC,0.173,0.062,23.25,3,0
2391,US979097167,Equity,1163872.32,USD,BNP Paribas,0.382,0.128,36.2,4,1
2392,US915269809,Equity,4582661.88,JPY,Citi,0.031,0.02,10.81,2,0
2393,US966953961,Derivative,2036159.11,EUR,Morgan Stanley,0.827,0.027,22.22,3,1
2394,US844886646,Bond,3390102.98,USD,Goldman Sachs,0.341,0.102,20.29,0,0
2395,US797424903,Equity,3641501.03,GBP,Morgan Stanley,0.248,0.125,31.42,0,0
2396,US908953172,Equity,3417879.06,JPY,Morgan Stanley,0.58,0.037,10.38,1,0
2397,US503300480,Equity,4517967.2,GBP,BNP Paribas,0.705,0.007,29.83,2,1
2398,US841320455,Equity,1163343.01,GBP,Morgan Stanley,0.813,0.192,20.39,3,1
2399,US770718620,Equity,439412.18,GBP,Citi,0.348,0.005,12.94,2,0
2400,US932150879,Bond,286773.83,GBP,Goldman Sachs,0.812,0,39.41,0,1
2401,US607417092,Derivative,4390442.31,JPY,BNP Paribas,0.465,0.065,16.37,3,1
2402,US860852565,Bond,4866702.38,USD,Goldman Sachs,0.101,0.044,20.47,4,0
2403,US122791342,Bond,1519607.44,GBP,Citi,0.846,0.115,16.21,0,0
2404,US927322145,Equity,3470634.48,GBP,Morgan Stanley,0.548,0.179,29.86,1,1
2405,US794205632,Bond,54474.79,EUR,Morgan Stanley,0.602,0.096,33.48,3,1
2406,US478452278,Equity,951271.24,EUR,BNP Paribas,0.937,0.155,35.82,1,1
2407,US935861721,Bond,3449479.17,JPY,Goldman Sachs,0.559,0.182,19.33,2,1
2408,US633850538,Equity,338776.83,GBP,Morgan Stanley,0.006,0.038,25.74,1,0
2409,US887044297,Equity,2347865.15,GBP,HSBC,0.871,0.098,29.9,1,1
2410,US175230621,Bond,3316290.49,GBP,JPMorgan,0.285,0.128,28.89,4,1
2411,US606150032,Bond,3832131.27,JPY,Morgan Stanley,0.502,0.066,31.48,1,0
2412,US447364889,Derivative,2274541.41,JPY,HSBC,0.205,0.148,33.09,4,0
2413,US610692999,Derivative,3155117.36,GBP,Morgan Stanley,0.297,0.141,12.92,1,0
2414,US592241198,Derivative,2702482.39,GBP,Barclays,0.687,0.084,15.05,4,1
2415,US403266535,Bond,271005.8,JPY,Goldman Sachs,0.43,0.018,32.03,0,0
2416,US179540080,Bond,3716595.39,GBP,Goldman Sachs,0.627,0.002,24.3,4,0
2417,US230511435,Equity,870085.96,USD,HSBC,0.824,0.074,22.81,0,0
2418,US585802970,Derivative,168709.6,USD,JPMorgan,0.341,0.016,23.66,0,0
2419,US877168711,Equity,2261327.9,JPY,JPMorgan,0.568,0.156,21.16,3,1
2420,US295465560,Equity,4329531.56,USD,JPMorgan,0.778,0.067,27.73,0,0
2421,US914011181,Equity,762638.89,EUR,Goldman Sachs,0.715,0.133,19.7,3,1
2422,US824465603,Equity,74159.1,GBP,Barclays,0.54,0.069,29.1,4,1
2423,US858119200,Derivative,558796.39,EUR,Barclays,0.383,0.159,16.08,2,0
2424,US532114688,Equity,1824658.98,EUR,Citi,0.408,0.178,32.73,3,1
2425,US919803422,Bond,2905057.63,EUR,Goldman Sachs,0.433,0.168,33.45,2,1
2426,US782407887,Bond,973130.55,USD,Citi,0.349,0.097,27.36,4,0
2427,US430020493,Bond,4011800.39,GBP,Morgan Stanley,0.699,0.017,21.08,3,0
2428,US717892916,Derivative,3768952.63,GBP,JPMorgan,0.125,0.074,10.43,4,0
2429,US817137199,Equity,3482359.45,JPY,Citi,0.967,0.085,13.65,2,1
2430,US749540676,Derivative,2442474.34,EUR,BNP Paribas,0.779,0.192,12.39,4,1
2431,US431508072,Equity,1832432.61,USD,Citi,0.298,0.113,10.31,2,0
2432,US557813593,Derivative,1884177.24,EUR,Goldman Sachs,0.043,0.128,31.67,0,0
2433,US523370685,Derivative,2520321.97,EUR,JPMorgan,0.711,0.156,38.68,2,1
2434,US777940443,Equity,395800.29,GBP,JPMorgan,0.734,0.114,10.34,2,1
2435,US784134337,Derivative,3414704.26,JPY,Barclays,0.964,0.12,13.38,0,0
2436,US550773695,Equity,1764022.64,USD,Citi,0.254,0.049,35.82,3,0
2437,US307069125,Bond,1131546.3,GBP,Barclays,0.083,0.012,30.66,1,0
2438,US392536894,Bond,1398852.08,EUR,Citi,0.915,0.144,22.14,3,1
2439,US600100256,Bond,909668.48,GBP,Goldman Sachs,0.259,0.17,39.78,1,1
2440,US773914536,Derivative,4508824.75,EUR,Goldman Sachs,0.722,0.082,27.21,0,0
2441,US618632111,Bond,853497.21,USD,Morgan Stanley,0.061,0.11,30.09,3,0
2442,US110427148,Equity,4415801.33,GBP,Citi,0.761,0.061,29.6,4,1
2443,US239094600,Bond,2865494.55,GBP,Citi,0.127,0.09,16.68,4,0
